localidad,gravedad,siniestros
ANTONIO NARINO,CON HERIDOS,1633
ANTONIO NARINO,CON MUERTOS,83
ANTONIO NARINO,SOLO DANOS,2005
BARRIOS UNIDOS,CON HERIDOS,2761
BARRIOS UNIDOS,CON MUERTOS,105
BARRIOS UNIDOS,SOLO DANOS,7228
BOSA,CON HERIDOS,4403
BOSA,CON MUERTOS,201
BOSA,SOLO DANOS,4813
CANDELARIA,CON HERIDOS,297
CANDELARIA,CON MUERTOS,15
CANDELARIA,SOLO DANOS,570
CHAPINERO,CON HERIDOS,2696
CHAPINERO,CON MUERTOS,94
CHAPINERO,SOLO DANOS,8906
CIUDAD BOLIVAR,CON HERIDOS,3701
CIUDAD BOLIVAR,CON MUERTOS,246
CIUDAD BOLIVAR,SOLO DANOS,4058
ENGATIVA,CON HERIDOS,6466
ENGATIVA,CON MUERTOS,293
ENGATIVA,SOLO DANOS,14169
FONTIBON,CON HERIDOS,4141
FONTIBON,CON MUERTOS,236
FONTIBON,SOLO DANOS,12000
KENNEDY,CON HERIDOS,9605
KENNEDY,CON MUERTOS,460
KENNEDY,SOLO DANOS,13596
LOS MARTIRES,CON HERIDOS,2296
LOS MARTIRES,CON MUERTOS,110
LOS MARTIRES,SOLO DANOS,3844
PUENTE ARANDA,CON HERIDOS,4790
PUENTE ARANDA,CON MUERTOS,232
PUENTE ARANDA,SOLO DANOS,9121
RAFAEL URIBE URIBE,CON HERIDOS,2652
RAFAEL URIBE URIBE,CON MUERTOS,132
RAFAEL URIBE URIBE,SOLO DANOS,2549
SAN CRISTOBAL,CON HERIDOS,2710
SAN CRISTOBAL,CON MUERTOS,130
SAN CRISTOBAL,SOLO DANOS,2495
SANTA FE,CON HERIDOS,2072
SANTA FE,CON MUERTOS,97
SANTA FE,SOLO DANOS,3282
SIN DATO,CON HERIDOS,13
SIN DATO,CON MUERTOS,1
SIN DATO,SOLO DANOS,32
SUBA,CON HERIDOS,6234
SUBA,CON MUERTOS,261
SUBA,SOLO DANOS,12478
SUMAPAZ,CON HERIDOS,3
SUMAPAZ,CON MUERTOS,3
SUMAPAZ,SOLO DANOS,1
TEUSAQUILLO,CON HERIDOS,2860
TEUSAQUILLO,CON MUERTOS,111
TEUSAQUILLO,SOLO DANOS,7196
TUNJUELITO,CON HERIDOS,2377
TUNJUELITO,CON MUERTOS,130
TUNJUELITO,SOLO DANOS,2844
USAQUEN,CON HERIDOS,4121
USAQUEN,CON MUERTOS,162
USAQUEN,SOLO DANOS,15009
USME,CON HERIDOS,1869
USME,CON MUERTOS,137
USME,SOLO DANOS,2011
