anio,mes,siniestros
2015,1,1913
2015,2,2310
2015,3,2396
2015,4,2259
2015,5,2388
2015,6,2233
2015,7,2470
2015,8,2315
2015,9,2512
2015,10,2500
2015,11,2393
2015,12,2196
2016,1,1905
2016,2,2367
2016,3,2411
2016,4,2653
2016,5,2783
2016,6,2634
2016,7,2632
2016,8,2822
2016,9,2898
2016,10,3030
2016,11,3053
2016,12,2740
2017,1,2156
2017,2,2706
2017,3,2954
2017,4,2487
2017,5,3037
2017,6,2521
2017,7,2647
2017,8,2819
2017,9,2727
2017,10,2784
2017,11,2822
2017,12,2755
2018,1,2260
2018,2,2648
2018,3,3022
2018,4,2900
2018,5,3040
2018,6,2900
2018,7,2737
2018,8,2866
2018,9,2606
2018,10,2798
2018,11,2797
2018,12,2844
2019,1,2260
2019,2,2494
2019,3,2871
2019,4,2599
2019,5,2969
2019,6,2572
2019,7,2761
2019,8,2887
2019,9,2937
2019,10,2917
2019,11,2715
2019,12,2980
2020,1,2284
2020,2,2796
2020,3,1866
2020,4,676
2020,5,1127
2020,6,1492
2020,7,1607
2020,8,1617
2020,9,2022
2020,10,2264
2020,11,2304
2020,12,2369
2021,1,1493
2021,2,2026
2021,3,2600
2021,4,1941
2021,5,2030
2021,6,2341
2021,7,2423
2021,8,2506
2021,9,754
